id,brand,series,material,model,windowType,size,glassType,priceRangeLow,priceRangeHigh,energyRating,uFactor,shgc,warrantyYears,installationIncluded,climateZones,features,popularityScore,customerRating,link
45,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,60x72,Double Pane,567,665,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy-Crank Operation, Maximum Ventilation",81,4.0,https://www.alside.com/
46,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,60x72,Double Pane Low-E,651,765,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
47,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,60x72,Triple Pane,793,931,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",81,4.0,https://www.alside.com/
48,Alside,Excalibur,Vinyl,Excalibur Casement,Casement,60x72,Triple Pane Low-E,907,1065,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
1,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,24x36,Double Pane,258,302,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy Cleaning, Classic Design",83,4.0,https://www.alside.com/
2,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,24x36,Double Pane Low-E,296,348,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
3,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,24x36,Triple Pane,361,423,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",83,4.0,https://www.alside.com/
4,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,24x36,Triple Pane Low-E,412,484,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
5,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,36x48,Double Pane,322,378,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy Cleaning, Classic Design",83,4.0,https://www.alside.com/
6,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,36x48,Double Pane Low-E,370,434,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
7,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,36x48,Triple Pane,451,529,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",83,4.0,https://www.alside.com/
8,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,36x48,Triple Pane Low-E,515,605,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
9,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,48x60,Double Pane,419,491,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy Cleaning, Classic Design",83,4.0,https://www.alside.com/
10,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,48x60,Double Pane Low-E,481,565,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
11,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,48x60,Triple Pane,586,688,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",83,4.0,https://www.alside.com/
12,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,48x60,Triple Pane Low-E,670,786,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
13,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,60x72,Double Pane,515,605,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy Cleaning, Classic Design",83,4.0,https://www.alside.com/
14,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,60x72,Double Pane Low-E,592,696,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
15,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,60x72,Triple Pane,721,847,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",83,4.0,https://www.alside.com/
16,Alside,Excalibur,Vinyl,Excalibur Double-Hung,Double-Hung,60x72,Triple Pane Low-E,824,968,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
17,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,24x36,Double Pane,232,272,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting",78,4.0,https://www.alside.com/
18,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,24x36,Double Pane Low-E,267,313,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
19,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,24x36,Triple Pane,325,381,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",78,4.0,https://www.alside.com/
20,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,24x36,Triple Pane Low-E,371,435,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
21,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,36x48,Double Pane,290,340,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting",78,4.0,https://www.alside.com/
22,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,36x48,Double Pane Low-E,333,391,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
23,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,36x48,Triple Pane,406,476,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",78,4.0,https://www.alside.com/
24,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,36x48,Triple Pane Low-E,464,544,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
25,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,48x60,Double Pane,377,443,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting",78,4.0,https://www.alside.com/
26,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,48x60,Double Pane Low-E,433,509,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
27,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,48x60,Triple Pane,527,619,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",78,4.0,https://www.alside.com/
28,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,48x60,Triple Pane Low-E,603,707,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
29,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,60x72,Double Pane,464,544,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting",78,4.0,https://www.alside.com/
30,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,60x72,Double Pane Low-E,534,626,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
31,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,60x72,Triple Pane,650,762,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",78,4.0,https://www.alside.com/
32,Alside,Excalibur,Vinyl,Excalibur Single-Hung,Single-Hung,60x72,Triple Pane Low-E,742,870,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
49,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,24x36,Double Pane,245,287,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting",78,4.0,https://www.alside.com/
50,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,24x36,Double Pane Low-E,282,330,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
51,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,24x36,Triple Pane,342,402,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",78,4.0,https://www.alside.com/
52,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,24x36,Triple Pane Low-E,392,460,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
53,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,36x48,Double Pane,305,359,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting",78,4.0,https://www.alside.com/
54,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,36x48,Double Pane Low-E,351,413,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
55,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,36x48,Triple Pane,428,502,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",78,4.0,https://www.alside.com/
56,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,36x48,Triple Pane Low-E,489,575,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
57,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,48x60,Double Pane,397,467,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting",78,4.0,https://www.alside.com/
58,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,48x60,Double Pane Low-E,457,537,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
59,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,48x60,Triple Pane,557,653,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",78,4.0,https://www.alside.com/
60,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,48x60,Triple Pane Low-E,637,747,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
61,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,60x72,Double Pane,489,575,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting",78,4.0,https://www.alside.com/
62,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,60x72,Double Pane Low-E,563,661,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
63,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,60x72,Triple Pane,685,805,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",78,4.0,https://www.alside.com/
64,Alside,Excalibur,Vinyl,Excalibur Sliding,Sliding,60x72,Triple Pane Low-E,783,919,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
97,Alside,Fusion,Vinyl,Fusion Casement,Casement,24x36,Double Pane,283,333,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy-Crank Operation, Maximum Ventilation",81,4.0,https://www.alside.com/
98,Alside,Fusion,Vinyl,Fusion Casement,Casement,24x36,Double Pane Low-E,326,382,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
99,Alside,Fusion,Vinyl,Fusion Casement,Casement,24x36,Triple Pane,397,465,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",81,4.0,https://www.alside.com/
100,Alside,Fusion,Vinyl,Fusion Casement,Casement,24x36,Triple Pane Low-E,454,532,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
101,Alside,Fusion,Vinyl,Fusion Casement,Casement,36x48,Double Pane,354,416,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy-Crank Operation, Maximum Ventilation",81,4.0,https://www.alside.com/
102,Alside,Fusion,Vinyl,Fusion Casement,Casement,36x48,Double Pane Low-E,408,478,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
103,Alside,Fusion,Vinyl,Fusion Casement,Casement,36x48,Triple Pane,496,582,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",81,4.0,https://www.alside.com/
104,Alside,Fusion,Vinyl,Fusion Casement,Casement,36x48,Triple Pane Low-E,567,665,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
105,Alside,Fusion,Vinyl,Fusion Casement,Casement,48x60,Double Pane,461,541,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy-Crank Operation, Maximum Ventilation",81,4.0,https://www.alside.com/
106,Alside,Fusion,Vinyl,Fusion Casement,Casement,48x60,Double Pane Low-E,530,622,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
107,Alside,Fusion,Vinyl,Fusion Casement,Casement,48x60,Triple Pane,645,757,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",81,4.0,https://www.alside.com/
108,Alside,Fusion,Vinyl,Fusion Casement,Casement,48x60,Triple Pane Low-E,737,865,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
109,Alside,Fusion,Vinyl,Fusion Casement,Casement,60x72,Double Pane,567,665,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy-Crank Operation, Maximum Ventilation",81,4.0,https://www.alside.com/
110,Alside,Fusion,Vinyl,Fusion Casement,Casement,60x72,Double Pane Low-E,651,765,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
111,Alside,Fusion,Vinyl,Fusion Casement,Casement,60x72,Triple Pane,793,931,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",81,4.0,https://www.alside.com/
112,Alside,Fusion,Vinyl,Fusion Casement,Casement,60x72,Triple Pane Low-E,907,1065,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",81,4.0,https://www.alside.com/
65,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,24x36,Double Pane,258,302,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy Cleaning, Classic Design",83,4.0,https://www.alside.com/
66,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,24x36,Double Pane Low-E,296,348,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
67,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,24x36,Triple Pane,361,423,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",83,4.0,https://www.alside.com/
68,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,24x36,Triple Pane Low-E,412,484,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
69,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,36x48,Double Pane,322,378,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy Cleaning, Classic Design",83,4.0,https://www.alside.com/
70,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,36x48,Double Pane Low-E,370,434,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
71,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,36x48,Triple Pane,451,529,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",83,4.0,https://www.alside.com/
72,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,36x48,Triple Pane Low-E,515,605,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
73,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,48x60,Double Pane,419,491,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy Cleaning, Classic Design",83,4.0,https://www.alside.com/
74,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,48x60,Double Pane Low-E,481,565,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
75,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,48x60,Triple Pane,586,688,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",83,4.0,https://www.alside.com/
76,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,48x60,Triple Pane Low-E,670,786,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
77,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,60x72,Double Pane,515,605,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting, Easy Cleaning, Classic Design",83,4.0,https://www.alside.com/
78,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,60x72,Double Pane Low-E,592,696,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
79,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,60x72,Triple Pane,721,847,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",83,4.0,https://www.alside.com/
80,Alside,Fusion,Vinyl,Fusion Double-Hung,Double-Hung,60x72,Triple Pane Low-E,824,968,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",83,4.0,https://www.alside.com/
81,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,24x36,Double Pane,232,272,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting",78,4.0,https://www.alside.com/
82,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,24x36,Double Pane Low-E,267,313,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
83,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,24x36,Triple Pane,325,381,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",78,4.0,https://www.alside.com/
84,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,24x36,Triple Pane Low-E,371,435,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
85,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,36x48,Double Pane,290,340,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting",78,4.0,https://www.alside.com/
86,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,36x48,Double Pane Low-E,333,391,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
87,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,36x48,Triple Pane,406,476,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",78,4.0,https://www.alside.com/
88,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,36x48,Triple Pane Low-E,464,544,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
89,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,48x60,Double Pane,377,443,Energy Star Certified,0.32,0.35,10,No,"South-Central, Southern","Low Maintenance, Never Needs Painting",78,4.0,https://www.alside.com/
90,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,48x60,Double Pane Low-E,433,509,Energy Star Certified,0.28,0.3,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
91,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,48x60,Triple Pane,527,619,Energy Star Certified,0.22,0.25,10,No,"Northern, North-Central, South-Central","Low Maintenance, Never Needs Painting, Superior Insulation, Noise Reduction",78,4.0,https://www.alside.com/
92,Alside,Fusion,Vinyl,Fusion Single-Hung,Single-Hung,48x60,Triple Pane Low-E,603,707,Energy Star Most Efficient,0.18,0.22,10,No,All Zones,"Low Maintenance, Never Needs Painting, Low-E Coating, UV Protection",78,4.0,https://www.alside.com/
